max_rpm,energy,duration,speed,weight
4559,6386,0.183,87.4,65507
708,783,0.152,94.7,10916
4497,20454,0.58,28.2,70306
558,1936,0.429,37.9,8751
5795,20547,0.431,31.6,86890
191,480,0.374,42.3,2836
1925,2213,0.152,92.3,29393
937,1735,0.229,61.8,13804
580,971,0.195,76.4,9112
1641,3231,0.281,54.1,23767
2159,16236,1.149,12.6,31395
142,998,0.965,15.8,2034
267,494,0.24,58.4,3843
2138,2851,0.182,74.7,32544
1789,7630,0.518,29.4,27114
5981,8495,0.201,75.0,87562
2521,3765,0.188,83.0,39265
5396,14137,0.328,47.1,82482
2002,3175,0.21,77.2,31233
425,999,0.321,46.4,6418
202,285,0.19,71.1,3020
2757,4440,0.195,78.8,42591
1578,1788,0.156,99.3,24855
164,454,0.367,41.1,2414
519,1402,0.331,47.0,8179
5896,24817,0.581,24.9,84450
918,3785,0.492,28.4,14164
736,1186,0.214,72.4,10869
793,946,0.154,92.5,11985
288,754,0.327,45.5,4528
562,2526,0.572,26.2,8461
567,1649,0.419,35.7,8498
169,397,0.3,51.0,2454
2747,6876,0.376,36.2,40281
651,2784,0.531,31.0,10201
3228,5237,0.205,76.2,49875
3642,36184,1.38,10.7,55685
293,500,0.24,58.5,4583
1737,2048,0.169,81.4,26173
886,2766,0.457,34.0,12688
4177,7569,0.225,64.3,62573
317,503,0.202,70.2,4651
1924,2747,0.212,69.0,28353
1487,3146,0.305,50.1,21556
411,1288,0.377,41.2,6349
233,292,0.181,85.2,3412
1771,2892,0.206,78.3,25594
2318,6223,0.364,38.9,35965
451,2880,0.8,19.3,6874
1739,10274,0.838,16.5,24921
643,3563,0.819,18.5,9383
2123,3781,0.244,62.5,32564
292,2179,0.966,14.6,4360
4297,11457,0.364,40.3,65084
410,645,0.205,77.8,6156
553,1516,0.382,36.5,8431
163,233,0.188,78.7,2510
209,327,0.211,77.1,3093
1031,3454,0.467,32.1,15047
394,555,0.207,75.6,5697
3381,5389,0.207,77.3,52539
145,339,0.308,45.8,2118
573,2355,0.489,28.9,8812
495,1097,0.277,56.9,7484
149,170,0.17,92.9,2157
215,314,0.202,67.6,3253
652,2614,0.566,25.6,10087
885,1311,0.206,71.4,13752
646,1524,0.33,48.4,9725
1092,1751,0.233,63.2,15961
1435,2069,0.214,76.1,20518
142,287,0.293,56.3,2079
850,1122,0.19,83.3,12288
5922,8287,0.207,75.0,86693
1055,1634,0.225,65.4,15235
1808,8542,0.581,23.6,28323
471,572,0.179,85.2,6774
2725,2986,0.155,94.2,41306
2857,12246,0.652,22.3,41133
981,2217,0.289,53.9,15370
6200,21748,0.447,33.3,91043
223,301,0.202,77.9,3268
149,211,0.196,74.9,2137
2785,12893,0.615,22.7,40691
3098,4008,0.167,88.9,47028
214,1070,0.622,26.3,3200
371,590,0.195,81.8,5652
138,269,0.276,51.1,2142
409,1136,0.371,39.5,6300
2668,14299,0.672,24.2,41169
1016,4574,0.553,25.1,15171
541,848,0.205,69.6,7806
594,960,0.24,59.5,8562
128,696,0.725,21.0,2010
412,2487,0.731,20.1,6462
1629,10377,0.832,16.5,25080
5878,9125,0.2,76.9,90397
3516,5231,0.186,74.1,54974
144,1013,1.004,15.3,2193
4522,8953,0.249,60.4,67244
2877,19525,0.85,17.6,42821
2835,3156,0.15,91.3,42351
787,1034,0.168,91.6,11999
645,994,0.203,72.8,9489
450,484,0.158,93.4,6541
169,219,0.184,83.0,2586
312,399,0.181,84.6,4884
342,627,0.221,61.3,5248
853,2379,0.37,37.5,13288
2474,8195,0.48,29.6,37231
821,2496,0.394,39.4,12764
166,262,0.229,66.6,2507
5494,24007,0.618,25.5,84778
5455,18838,0.472,33.3,79926
2741,6659,0.308,52.1,43156
6479,23195,0.472,31.0,96664
1084,2002,0.231,63.0,16830
5475,7676,0.172,93.1,86445
185,243,0.184,77.3,2688
567,914,0.213,70.0,8362
309,523,0.226,62.4,4829
291,640,0.301,53.9,4302
233,932,0.55,26.8,3469
1517,1721,0.156,90.5,22829
2810,9692,0.481,32.4,42508
1330,6872,0.781,18.2,19210
230,374,0.211,77.5,3553
3151,13615,0.566,25.8,47764
1577,4149,0.356,43.5,24071
625,5793,1.159,12.5,9130
1940,10074,0.713,22.3,27948
381,1885,0.633,25.6,5528
529,4167,1.065,14.9,7717
5062,7885,0.232,69.1,72412
423,551,0.162,85.3,6231
859,2527,0.373,43.6,12575
4547,5605,0.173,88.7,65065
2020,8339,0.552,29.2,31873
172,476,0.396,39.3,2551
242,1130,0.599,23.6,3558
143,219,0.233,65.9,2062
1633,3495,0.288,47.8,23601
794,1416,0.239,65.2,11524
235,296,0.187,78.6,3381
5676,10423,0.236,59.1,84826
1006,2043,0.247,66.5,15882
326,429,0.172,94.2,5152
949,3096,0.438,36.9,14175
1891,5708,0.375,42.3,28555
178,282,0.209,74.6,2694
386,713,0.238,65.0,5857
3263,12238,0.53,26.1,46993
793,2074,0.369,43.9,12077
1171,2890,0.31,52.1,16968
754,1804,0.33,47.7,10873
158,718,0.625,26.0,2374
253,324,0.163,93.2,3825
781,1105,0.189,78.6,11428
308,660,0.308,53.3,4533
159,273,0.209,71.2,2431
3472,4213,0.17,90.8,54245
6048,31159,0.657,22.3,92906
2858,10496,0.474,32.5,44520
3685,7237,0.266,58.8,56439
335,515,0.188,81.9,5153
5793,50136,1.134,13.3,85724
301,332,0.146,98.6,4321
5615,12311,0.303,50.9,82695
6811,20442,0.383,42.3,97993
2219,5835,0.372,36.3,32376
6333,25286,0.541,25.7,92888
1226,1720,0.171,81.2,18563
361,428,0.169,96.0,5520
762,1670,0.328,47.2,11052
1414,1914,0.171,95.7,20392
176,263,0.181,84.1,2661
1446,3360,0.279,53.3,22822
6374,10403,0.225,70.7,92901
274,599,0.285,49.1,4207
2816,5133,0.243,60.3,44424
4791,33668,0.979,15.2,69746
5358,7838,0.198,72.7,80232
5809,38441,0.99,14.8,85560
1067,1252,0.164,83.5,15380
6125,7623,0.167,84.2,91505
2580,9253,0.463,31.3,38697
245,766,0.406,39.1,3764
844,1825,0.263,53.3,12920
2280,3691,0.228,63.7,33224
349,986,0.382,35.9,5263
1579,2978,0.24,63.3,24514
1735,5317,0.417,36.8,27137
251,1985,1.074,15.0,3779
1211,14761,1.56,10.2,18242
2770,15106,0.751,19.1,40926
936,1302,0.171,81.3,14081
134,155,0.145,96.5,2096
138,326,0.339,48.4,2071
560,1114,0.276,56.1,8083
4824,23153,0.587,23.2,74921
332,587,0.233,59.6,4892
1609,8370,0.65,23.0,23921
325,543,0.217,65.0,4767
452,543,0.169,94.0,7039
3841,14030,0.551,27.6,55185
2336,3469,0.195,78.8,34621
200,1691,1.229,12.1,2904
695,1773,0.326,43.8,10699
153,907,0.765,20.0,2241
899,2499,0.375,41.7,13123
1761,7485,0.57,25.6,26698
209,563,0.344,43.6,3179
419,968,0.337,47.6,6192
606,1864,0.376,37.1,9482
4980,8309,0.219,69.1,72993
6196,7663,0.157,92.7,97395
154,386,0.339,46.1,2384
2660,10323,0.496,27.3,39260
547,1936,0.451,34.4,8562
648,673,0.159,86.9,9285
2643,4617,0.223,61.4,38238
4906,11777,0.308,51.0,72679
5677,27577,0.657,23.5,82533
1324,3027,0.321,50.5,19122
526,1896,0.429,35.1,8086
3005,3654,0.159,94.9,43556
345,468,0.174,89.6,5339
1200,7719,0.824,17.6,18170
545,936,0.241,56.5,8132
1777,5747,0.469,30.3,26099
325,739,0.303,47.0,5122
276,330,0.163,88.9,4231
4894,10812,0.284,57.5,72625
195,548,0.397,40.1,2978
991,4339,0.568,28.7,14475
321,479,0.201,82.0,4745
151,254,0.224,66.2,2329
148,300,0.272,52.1,2302
268,1021,0.513,29.6,3969
3939,11521,0.403,40.1,59380
389,460,0.155,96.4,6038
5396,11408,0.264,56.8,82381
1271,3011,0.302,46.1,19462
706,1501,0.259,56.9,11036
1295,1845,0.183,80.1,19345
1032,2875,0.358,40.6,15096
2614,11338,0.62,26.1,38919
415,724,0.218,62.6,6039
510,930,0.235,69.9,7958
4376,6289,0.182,74.1,66079
5465,7675,0.183,89.4,81101
4456,11610,0.349,43.4,65684
701,5274,0.93,16.8,10319
2887,2918,0.146,96.3,42349
872,1996,0.315,49.2,12891
895,1583,0.244,66.1,14006
302,414,0.199,70.0,4454
1376,2469,0.235,59.2,20199
289,944,0.506,28.5,4142
497,707,0.179,78.0,7317
3851,4890,0.168,82.3,56715
300,577,0.26,59.8,4496
182,334,0.262,54.0,2641
183,927,0.765,20.3,2619
5435,39404,0.916,17.6,79322
979,2885,0.381,40.6,14530
633,1751,0.365,38.0,9922
3253,3464,0.159,95.8,47718
3580,4628,0.182,80.5,52610
502,719,0.209,69.4,7335
1935,4073,0.255,56.6,30162
2764,13855,0.65,25.1,40845
1691,2076,0.16,98.1,25897
247,619,0.318,43.8,3618
3995,21911,0.761,19.6,61535
1118,2166,0.266,54.4,16479
394,583,0.185,88.7,6038
669,881,0.183,89.9,10555
156,1485,1.316,11.0,2316
211,271,0.162,89.8,3298
2706,8641,0.444,34.4,39964
139,1101,1.106,13.5,2000
712,853,0.164,86.3,10203
1002,1326,0.176,87.7,15443
170,259,0.228,63.7,2476
5912,10463,0.251,61.7,90003
335,428,0.176,83.2,4844
450,593,0.193,80.8,6574
419,609,0.172,90.1,6567
325,660,0.251,59.7,4926
131,156,0.161,97.1,2011
2378,2761,0.149,99.7,34686
5803,29880,0.676,20.5,87835
326,364,0.162,86.5,4809
1802,3544,0.259,55.0,26762
2544,5755,0.305,44.9,36432
3845,6077,0.24,65.2,55268
691,4885,0.971,15.0,10448
445,730,0.248,55.6,6541
491,621,0.181,88.4,7139
2252,8363,0.532,29.2,32490
3114,7693,0.307,48.4,48833
265,288,0.151,94.6,4069
558,1111,0.287,48.6,8535
4512,11551,0.352,42.3,68139
3026,8135,0.325,49.6,46943
6280,11443,0.248,56.8,94248
2590,4272,0.227,66.9,38236
620,923,0.2,82.1,9312
1366,3219,0.304,50.7,20160
1693,2344,0.177,83.6,26550
188,336,0.27,58.0,2718
1171,3127,0.395,40.5,16831
2163,3317,0.221,69.2,32073
266,416,0.216,74.6,3848
2722,4797,0.25,60.2,42393
1347,9945,1.059,15.1,19626
5319,27399,0.647,25.3,82951
155,482,0.421,35.7,2361
369,1270,0.432,35.4,5646
1414,2234,0.217,70.6,21040
416,4754,1.36,11.7,6380
2211,3660,0.205,78.0,32720
2562,8275,0.401,33.9,38954
206,674,0.414,37.9,2986
1008,1935,0.276,57.5,14929
948,4075,0.53,29.4,14642
556,713,0.175,89.6,8480
5306,30967,0.77,17.7,76920
3356,7360,0.297,50.0,50925
2046,2703,0.185,86.4,30589
2212,4448,0.249,65.4,32707
799,2240,0.391,36.3,12175
4793,12288,0.318,47.9,73412
2013,3387,0.216,73.6,30277
2243,2686,0.161,97.6,34637
3797,4904,0.17,90.4,58212
372,901,0.332,40.8,5843
3072,4000,0.157,99.8,47013
281,3599,1.534,10.3,4292
538,5070,1.255,12.5,7722
500,746,0.188,84.1,7433
6305,22298,0.529,28.0,91942
3630,29686,1.065,15.5,57050
1989,7571,0.504,31.3,31066
2363,5487,0.315,48.3,34377
1216,1817,0.215,75.8,18029
5252,10090,0.245,66.2,81303
920,3649,0.508,31.4,13936
593,1127,0.275,55.3,8861
260,283,0.162,93.4,3784
2761,3415,0.174,83.4,43328
2381,6788,0.365,39.1,35385
612,664,0.153,98.4,8995
154,215,0.206,73.8,2207
3660,25618,0.911,15.6,53267
136,1199,1.236,13.2,2091
2135,9323,0.603,25.2,31375
6090,9323,0.2,75.5,89015
755,3137,0.558,26.5,11081
345,618,0.244,56.0,5014
2186,12887,0.878,18.4,31519
3129,3561,0.156,92.9,48899
1085,3246,0.377,41.0,16958
6033,6641,0.167,91.7,87901
159,210,0.16,95.0,2448
918,9987,1.429,10.6,14409
2194,4433,0.271,51.8,33240
4019,32633,1.174,12.2,58429
258,356,0.164,91.8,4032
3101,6586,0.28,56.7,45731
1101,7601,0.884,16.7,17380
604,3398,0.708,19.9,9435
219,505,0.309,44.5,3348
3772,4798,0.164,94.6,59039
255,366,0.204,72.4,3700
464,519,0.158,88.1,6719
425,1081,0.361,43.0,6220
3927,28146,1.017,13.9,60469
1857,1939,0.154,97.7,27792
2914,26349,1.249,11.5,45140
347,432,0.171,95.3,5328
1539,4081,0.328,43.2,23050
1277,12949,1.353,10.9,18724
3325,6454,0.227,72.0,51997
4523,4931,0.147,98.2,69253
145,163,0.159,96.9,2097
1849,8606,0.59,24.5,27936
170,653,0.526,26.3,2449
1197,2174,0.253,60.9,17120
411,754,0.241,67.4,6161
433,655,0.194,76.5,6641
545,2450,0.585,26.3,7956
1463,1869,0.159,96.3,22729
480,881,0.218,67.5,7388
2409,3407,0.178,86.2,35145
644,1167,0.244,58.6,9734
169,366,0.309,47.3,2613
2904,2930,0.151,97.9,42915
417,729,0.258,62.4,6116
697,821,0.165,88.0,10871
1904,2289,0.161,95.8,29213
475,667,0.2,70.8,7342
164,306,0.24,59.4,2495
590,6064,1.497,10.3,8635
5479,46827,1.161,13.6,80467
1668,6009,0.53,28.1,24621
1752,7993,0.542,26.7,27660
1525,6175,0.493,32.9,23727
282,790,0.371,37.4,4356
669,2053,0.369,42.4,10274
2427,5755,0.325,47.8,37744
196,1301,0.824,18.9,2973
378,3532,1.181,13.8,5930
402,632,0.222,70.7,5895
743,1226,0.247,58.4,10839
6219,12604,0.291,50.0,92607
166,305,0.219,67.1,2604
1053,1250,0.161,84.5,15215
281,640,0.335,48.5,4034
5767,9027,0.203,67.7,89162
211,233,0.163,95.8,3115
668,817,0.183,85.6,9699
2400,6432,0.332,48.3,35865
2061,3478,0.223,68.0,31480
695,3071,0.604,25.9,10452
517,1007,0.238,60.4,7758
625,742,0.16,98.3,9474
391,697,0.256,56.6,5623
304,369,0.173,93.5,4465
859,2009,0.3,46.7,13234
384,418,0.145,99.9,5718
418,671,0.241,62.1,6157
1678,15430,1.147,13.8,26111
5811,11722,0.251,62.8,88419
1471,4418,0.407,34.7,21212
181,1564,1.078,12.9,2702
174,220,0.172,83.9,2688
5304,16662,0.429,34.8,82693
427,615,0.185,81.7,6399
192,553,0.411,35.9,2867
1365,5389,0.563,27.5,20834
1549,1596,0.151,97.7,22939
1612,5114,0.384,42.5,25282
366,574,0.223,64.1,5692
142,240,0.237,64.9,2121
5559,10241,0.254,60.4,87209
369,435,0.155,92.3,5336
1809,2936,0.208,70.7,28156
2152,4704,0.315,46.3,31737
1434,1826,0.16,87.6,21747
448,2028,0.568,26.3,6802
395,721,0.249,59.0,5775
1381,1453,0.147,95.5,20722
4037,6748,0.224,66.3,59224
5415,7798,0.177,83.5,81189
203,278,0.202,68.8,3026
250,283,0.162,85.5,3665
5428,6265,0.163,95.0,80557
2405,8273,0.452,34.6,35676
4340,21053,0.646,25.3,63271
307,534,0.257,53.6,4418
1311,1778,0.189,73.2,19921
2086,7562,0.448,30.4,31063
1828,21894,1.456,10.4,28610
648,2017,0.376,40.9,9873
140,171,0.151,97.2,2124
1347,2100,0.219,72.5,19561
359,839,0.337,46.1,5383
794,3595,0.602,27.3,11641
5375,13600,0.331,42.0,84709
632,2537,0.541,25.3,9527
3705,19268,0.732,19.6,53435
271,336,0.148,91.6,4181
1764,2071,0.163,99.8,27766
6052,24956,0.582,24.8,91397
202,1547,1.017,14.9,2979
137,405,0.364,39.7,2066
724,1631,0.276,51.5,10906
194,713,0.491,28.4,2873
2430,6600,0.389,37.1,37369
4892,19025,0.547,28.1,71584
703,1219,0.206,79.7,10924
363,563,0.205,74.1,5502
740,1285,0.225,67.1,10941
2333,4904,0.303,44.8,33895
142,163,0.174,91.8,2072
1367,1428,0.14,97.3,20067
1447,7437,0.633,25.6,22028
1554,6688,0.503,30.1,24235
333,673,0.244,57.3,5154
2257,13468,0.816,18.2,32672
197,488,0.335,49.3,2859
303,536,0.231,62.4,4360
3952,7026,0.251,57.0,61919
2407,6831,0.348,39.8,35983
142,276,0.26,58.8,2110
359,411,0.143,96.3,5284
312,1348,0.554,28.5,4627
395,633,0.236,68.9,5769
346,2879,1.172,13.9,5267
164,1072,0.865,16.0,2554
779,1459,0.254,59.7,12043
2228,12313,0.709,19.4,35149
1409,13882,1.267,12.0,21470
1778,8606,0.627,25.4,27811
179,310,0.248,60.8,2747
5585,9957,0.22,73.3,82714
3683,14755,0.564,28.2,53162
3215,5099,0.204,70.1,46650
3253,13329,0.582,26.4,50032
4936,8462,0.207,65.2,76855
1086,2451,0.312,47.1,16815
305,468,0.206,68.8,4378
1496,1888,0.164,99.6,22331
2360,3084,0.156,94.4,36573
2472,25744,1.489,10.4,35869
1014,1240,0.175,89.7,15379
181,1387,0.99,16.0,2614
555,676,0.164,95.8,8541
4837,14102,0.406,35.4,73347
1312,3439,0.351,44.4,19678
1138,6336,0.83,18.2,16430
395,2089,0.761,20.1,5725
567,739,0.179,75.4,8453
4303,4767,0.15,95.0,66404
1790,3366,0.251,65.0,27122
3039,4105,0.193,74.4,43528
797,1176,0.189,78.6,11829
1613,5328,0.418,33.7,23539
350,2404,0.989,14.1,5284
2112,23362,1.389,10.2,31592
705,2111,0.365,41.6,10653
768,3001,0.512,31.7,11295
1750,12931,0.928,15.6,25363
5199,20845,0.553,26.2,77936
170,981,0.716,21.2,2569
3304,4112,0.158,92.3,50378
404,2172,0.717,22.6,6277
790,1481,0.251,58.4,11356
142,257,0.236,63.4,2179
445,780,0.256,58.9,6493
973,5594,0.838,18.9,14288
170,510,0.393,38.7,2491
950,6925,0.973,14.6,13657
5074,11504,0.304,45.6,75190
209,913,0.605,27.0,3020
2564,4891,0.263,60.5,39791
670,918,0.188,72.4,9932
1777,3844,0.276,57.9,25950
360,922,0.311,49.1,5535
254,646,0.336,44.9,3732
256,325,0.158,85.8,3746
181,756,0.533,29.7,2635
270,355,0.185,76.1,4134
1824,2642,0.201,78.2,26885
4114,8276,0.284,47.7,62950
3298,10374,0.432,36.8,48328
1937,3990,0.259,52.3,29177
207,1108,0.773,18.4,3080
409,3375,1.012,14.1,6199
432,2374,0.697,20.0,6720
343,1553,0.557,26.8,5317
957,1766,0.259,55.4,14997
1096,1423,0.191,86.4,16252
557,2020,0.488,31.2,8079
506,687,0.161,94.2,7981
3261,4056,0.148,95.9,51135
2911,3479,0.153,96.3,43854
455,509,0.162,85.4,6667
4595,12376,0.369,42.7,71372
5416,39203,0.876,16.5,83144
465,852,0.257,61.2,7180
528,1006,0.242,60.3,8001
937,1385,0.19,86.5,14457
5217,5497,0.141,99.6,79426
4203,7378,0.242,55.7,61641
201,605,0.372,41.1,2987
593,3049,0.612,26.7,9295
1177,13837,1.48,10.4,17425
952,1731,0.246,55.8,14316
297,495,0.252,60.0,4269
3756,6096,0.193,84.2,57561
1926,3202,0.244,55.4,28257
3617,4027,0.151,92.5,53040
3729,6571,0.24,66.5,57549
2591,3538,0.189,85.6,37364
742,3584,0.669,23.3,11148
1478,2227,0.189,87.0,21793
240,398,0.195,70.8,3745
1814,8188,0.598,25.3,27895
271,1058,0.574,27.1,4032
1977,2606,0.167,93.4,30201
327,2947,1.231,12.9,4910
208,547,0.315,51.6,3167
258,668,0.382,38.2,3818
134,181,0.195,69.9,2015
2108,2949,0.17,85.6,33277
2375,6749,0.366,42.4,35104
991,2176,0.292,48.4,14992
246,290,0.162,98.4,3759
177,234,0.176,80.6,2773
139,155,0.149,90.7,2155
247,548,0.304,49.5,3824
4539,17619,0.505,31.1,65247
340,726,0.309,47.1,5145
508,830,0.212,74.4,7996
194,1182,0.746,19.8,3020
304,877,0.408,34.3,4773
1025,7953,0.97,14.2,15246
1392,3586,0.32,48.9,21556
348,414,0.174,84.5,5222
164,1797,1.329,12.2,2506
634,983,0.214,70.8,9233
327,398,0.155,93.9,4999
313,1180,0.464,31.3,4721
5824,8823,0.192,72.4,85468
1476,1710,0.156,97.8,22289
1212,1320,0.158,96.6,17666
689,2470,0.511,31.1,10172
707,4179,0.741,19.0,10710
1106,5547,0.616,23.3,16596
2128,2627,0.188,73.2,30496
2112,2689,0.191,75.3,31185
271,435,0.209,70.7,3915
912,2815,0.407,40.2,14148
666,2927,0.612,25.3,10021
4181,7190,0.255,62.3,60260
1548,3099,0.27,53.5,23647
1120,1619,0.184,75.6,16059
200,493,0.287,49.7,3141
1482,3641,0.353,40.5,21379
209,723,0.419,36.4,3163
477,1796,0.5,29.0,7480
241,887,0.474,33.9,3497
1949,12549,0.888,18.5,29980
284,841,0.353,41.2,4481
595,5282,1.175,13.3,9263
4503,18040,0.578,26.8,66489
310,440,0.182,77.2,4447
934,2843,0.414,39.3,14580
684,1138,0.201,70.1,10312
138,208,0.211,74.5,2146
3036,4679,0.233,62.3,44453
168,213,0.152,96.3,2620
830,8105,1.246,11.9,12787
1159,1857,0.21,76.5,17931
1566,1548,0.145,96.3,23372
2045,2341,0.156,87.6,29579
359,1543,0.586,25.1,5386
132,359,0.347,39.4,2079
2274,10604,0.61,25.5,33895
1116,2056,0.246,64.1,16259
3382,6235,0.217,74.1,52670
3173,10463,0.408,38.5,49721
3499,7275,0.277,58.6,54177
911,1405,0.218,72.2,13341
496,1249,0.34,47.9,7376
2961,3413,0.162,86.9,44244
759,1076,0.189,79.4,11688
268,2281,1.042,15.8,4099
3956,7168,0.236,65.9,56702
4101,16762,0.518,31.2,63164
859,1423,0.226,60.2,12395
180,222,0.168,96.1,2689
585,819,0.175,89.1,9118
3081,7428,0.302,46.4,46367
4743,13363,0.375,36.2,68095
293,923,0.459,31.1,4433
179,381,0.28,57.9,2599
4025,24695,0.764,20.3,61890
616,1154,0.274,59.4,9175
1148,11353,1.466,10.1,16651
6131,19444,0.417,39.1,88256
172,656,0.5,29.8,2594
1707,1947,0.145,97.4,25264
169,231,0.185,75.5,2672
564,1564,0.397,41.5,8688
3026,17095,0.79,18.4,46418
697,1335,0.247,56.5,10901
6448,23004,0.463,29.2,98903
1166,2351,0.246,58.3,17817
490,695,0.19,85.2,7025
320,599,0.231,65.4,4731
521,828,0.23,67.0,7880
600,1102,0.277,58.7,8589
168,193,0.161,93.5,2616
564,729,0.171,93.9,8490
831,1510,0.258,56.1,12295
2153,7673,0.438,37.5,33801
1778,3234,0.267,51.4,26109
2048,8619,0.585,26.8,32003
132,235,0.23,67.3,2066
301,584,0.256,55.0,4686
1850,10782,0.76,19.3,26620
901,3683,0.52,27.8,13283
138,244,0.259,53.2,2042
3119,4196,0.17,89.9,46541
2684,5627,0.27,61.0,41115
1153,1819,0.213,71.3,17091
171,445,0.374,40.5,2593
2579,4660,0.222,61.4,40115
1332,2477,0.277,50.3,19621
2735,4417,0.217,69.3,42614
2446,19676,1.131,14.6,37863
3182,6902,0.297,54.4,46270
1027,3094,0.396,36.6,15174
233,717,0.384,39.4,3462
1826,2271,0.157,96.5,27625
1494,7279,0.588,26.4,22656
2478,7858,0.409,38.0,36483
265,529,0.284,55.9,3887
286,335,0.155,87.7,4288
4546,11102,0.344,47.5,65134
2621,3394,0.178,76.9,37602
4615,6072,0.171,87.1,69836
2677,8683,0.429,37.9,38910
1384,3127,0.33,45.3,20681
1725,4410,0.325,42.1,25845
4128,5025,0.167,85.0,64808
1292,9487,1.089,14.0,19248
1645,4342,0.365,37.8,23737
252,389,0.208,71.1,3688
875,1377,0.238,60.9,12770
2123,5352,0.324,49.3,32973
379,685,0.236,58.6,5772
286,1124,0.56,27.8,4412
446,1073,0.302,48.8,6826
345,670,0.277,55.2,5144
304,380,0.155,91.1,4636
706,2321,0.458,33.5,10539
4620,6115,0.176,88.1,69730
948,1580,0.202,68.0,14538
266,2988,1.35,11.8,4171
187,305,0.214,75.2,2702
1931,14725,1.037,13.2,30463
566,624,0.153,99.8,8941
3429,4389,0.173,88.5,49807
1847,4773,0.368,36.8,26394
3072,10676,0.438,33.2,45063
367,1040,0.37,44.3,5795
1946,5315,0.361,42.1,30014
392,1057,0.375,43.5,5619
5414,16766,0.402,38.6,78791
1618,2369,0.206,65.9,24110
462,2146,0.554,24.8,7118
364,526,0.182,86.1,5740
267,411,0.182,83.1,4220
2041,3994,0.262,52.9,30283
298,438,0.177,86.7,4705
1436,4617,0.494,32.2,20532
363,4061,1.361,11.6,5631
1814,2900,0.217,65.7,26649
3120,6688,0.279,51.2,48482
2808,5200,0.269,61.0,41963
2506,3655,0.178,90.9,39236
285,286,0.149,97.3,4168
190,315,0.238,67.1,2826
1968,2529,0.178,78.8,30798
582,3058,0.803,17.5,8449
726,3216,0.574,24.5,10853
156,195,0.181,76.0,2259
383,844,0.329,48.8,5521
158,334,0.304,50.1,2281
3980,11777,0.378,37.8,62336
332,643,0.248,64.7,5182
1237,5139,0.597,26.7,17698
155,241,0.208,66.4,2329
1763,8055,0.602,25.6,27163
484,3747,0.995,15.7,7076
4366,11965,0.394,39.7,67076
4401,17627,0.509,30.8,64552
492,527,0.156,90.0,7139
4653,34257,0.967,14.9,67879
6418,29915,0.619,25.9,98508
3334,6604,0.273,59.4,50511
3602,7500,0.269,53.3,54505
352,2681,0.961,14.1,5297
1230,14263,1.509,10.7,19091
172,191,0.148,98.9,2601
193,276,0.209,69.3,2899
6658,18310,0.339,42.9,99567
493,1081,0.282,52.3,7177
2493,7874,0.431,34.0,37339
3044,9152,0.37,41.0,46938
3887,5545,0.201,68.4,57383
6801,9509,0.183,89.5,99076
336,1584,0.614,26.6,5144
158,221,0.19,85.6,2341
642,3508,0.771,20.9,9991
218,959,0.527,29.3,3326
151,1236,1.061,13.3,2183
568,2610,0.602,22.7,8191
2882,3073,0.149,92.6,42911
1246,2473,0.282,51.3,18321
469,3047,0.884,17.0,6798
1803,2364,0.171,96.4,25866
330,447,0.166,89.1,4957
141,195,0.193,77.9,2115
2629,3368,0.166,94.0,39778
1464,5646,0.471,29.8,22948
2610,3564,0.191,85.3,39460
159,239,0.209,72.1,2329
3632,4023,0.162,88.3,52877
1563,2341,0.2,81.7,22572
1153,3629,0.373,41.2,18122
1539,2323,0.188,79.7,23026
3768,13789,0.453,33.6,58840
1285,3832,0.398,39.6,19870
1345,7096,0.708,19.7,19410
6425,8840,0.171,94.2,96419
2640,8956,0.453,36.2,38609
719,1482,0.267,56.9,11284
2104,5931,0.344,45.2,31832
621,816,0.167,96.4,9168
314,959,0.364,40.2,4896
1353,2297,0.206,80.1,20656
4814,6601,0.179,87.0,75506
5129,12194,0.3,49.2,75789
531,1362,0.353,44.0,7619
1084,1393,0.195,77.3,15759
319,352,0.15,92.2,4577
6780,9960,0.204,77.9,98305
6411,22135,0.499,30.4,92879
1705,2452,0.177,89.9,25382
3107,6594,0.311,44.9,46527
2166,4365,0.244,61.9,32806
1400,1766,0.186,84.8,20360
159,734,0.611,27.0,2464
754,1167,0.2,80.6,11848
1951,3705,0.253,63.7,28020
1794,2104,0.158,90.4,28322
601,2968,0.629,25.5,8609
5428,12229,0.293,47.9,79604
252,337,0.166,85.0,3849
962,7691,1.179,11.7,14162
2052,11875,0.8,20.1,29841
1986,2321,0.139,99.2,30580
1732,4764,0.395,35.2,25295
403,397,0.146,97.8,5871
239,1057,0.576,26.4,3684
1531,4964,0.38,42.5,24069
1349,1973,0.19,77.8,20855
260,432,0.219,69.2,4034
2012,3651,0.225,62.3,31552
809,1599,0.248,57.7,11867
1795,2006,0.162,85.9,27260
3664,11648,0.473,31.1,52928
252,551,0.307,49.8,3885
143,591,0.598,24.0,2155
2848,5100,0.252,63.6,42140
1502,5189,0.505,32.5,21721
2063,5396,0.346,40.0,30881
3494,6627,0.259,52.4,53092
3195,29003,1.279,12.4,46236
5612,35963,0.77,18.3,85823
1039,1538,0.203,71.7,16276
896,1996,0.302,48.6,13519
660,847,0.185,87.8,9634
231,393,0.213,72.5,3648
1263,12490,1.27,10.7,18787
397,649,0.207,65.5,5911
5110,28192,0.765,18.4,73502
